Reference time: 04/16/19 06:14:52 UTC,,,,,,,,,,,,,,,,,,,,,,,,,
CentisecTime: 155539529240,,,,,,,,,,,,,,,,,,,,,,,,,
DeviceID: 71, DeviceFamily: S6, OFVersion: 2.1.0.999, FirmwareVersion: 1.01,,,,,,,,,,,,,,,,,,,,,,
Acceleration.forward,Acceleration.side,Acceleration.up,Rotation.roll,Rotation.pitch,Rotation.yaw,RawPlayerLoad,SmoothedPlayerLoad,imuAcceleration.forward,imuAcceleration.side,imuAcceleration.up,imuOrientation.forward,imuOrientation.side,imuOrientation.up,Facing,Latitude,Longitude,Odometer,RawVelocity,SmoothedVelocity,GNSS.LPS.Acceleration,MetabolicPower,GNSS.Fix,GNSS.Strength,GNSS.HDOP,HeartRate
-1.90309,0.560956,-0.591448,9.821,93.757,-219.112,0.646973,1.52077,0.826704,-0.822685,0.71055,0.575389,0.291646,-0.764114,-21.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.61608,0.596772,-0.321376,-11.834,93.818,-229.848,0.511719,1.52295,0.933414,-0.588183,0.361581,0.590247,0.274336,-0.759176,-13.781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.40457,0.56628,-0.08954,-36.112,87.352,-216.55,0.40625,1.52538,0.97527,-0.467487,0.0638633,0.60371,0.262243,-0.752837,-7.41189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.20758,0.48158,0.107932,-61.793,76.738,-181.292,0.341797,1.52807,0.951723,-0.418989,-0.212288,0.616326,0.257048,-0.744358,-1.25574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-1.03479,0.363,0.22748,-90.707,58.987,-132.614,0.282227,1.53098,0.863666,-0.417845,-0.422248,0.628802,0.258629,-0.733294,4.45454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.902176,0.275396,0.296208,-113.948,41.297,-85.949,0.22168,1.53408,0.778296,-0.424486,-0.562312,0.640268,0.266658,-0.720382,8.22729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.826188,0.153428,0.325732,-130.601,24.278,-47.275,0.173828,1.53734,0.672996,-0.485418,-0.648326,0.652135,0.277894,-0.705333,11.8177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.790372,0.02178,0.34848,-148.413,19.154,-18.544,0.146973,1.54078,0.572823,-0.578316,-0.710128,0.662779,0.291764,-0.689636,15.2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.736648,-0.063888,0.368324,-160.247,25.132,-5.063,0.123535,1.54443,0.490203,-0.625305,-0.773969,0.670944,0.307029,-0.674958,20.2412,-37.8508837,144.988485,363.584,0.5345,0.392099,0.158913,0,12,0,0.86,0
-0.665016,-0.136972,0.370744,-165.493,32.513,-1.891,0.11084,1.54836,0.398728,-0.64292,-0.838355,0.677839,0.3224,-0.660751,26.2517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.64372,-0.221672,0.391072,-163.48,39.833,-10.187,0.0966797,1.55258,0.33783,-0.699446,-0.885553,0.6857,0.333767,-0.64685,26.9521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.654852,-0.3025,0.456412,-155.855,55.998,-26.596,0.0942383,1.55709,0.327803,-0.785859,-0.939835,0.692473,0.340621,-0.63597,27.7859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.635492,-0.383328,0.562408,-145.607,76.616,-43.615,0.112793,1.56192,0.341943,-0.865206,-1.03983,0.69938,0.344796,-0.626085,28.7992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.590964,-0.48158,0.702284,-133.224,89.06,-56.486,0.145508,1.5671,0.372882,-0.949924,-1.18156,0.707148,0.343611,-0.617959,27.9384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.57838,-0.572088,0.843128,-116.876,83.57,-59.78,0.15625,1.57264,0.428955,-1.04973,-1.29452,0.715918,0.33946,-0.610105,27.7397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.60742,-0.698412,0.985424,-93.391,59.292,-53.314,0.17334,1.57854,0.496271,-1.199,-1.37936,0.728644,0.330483,-0.599882,28.2806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.656788,-0.8228,1.07884,-68.869,26.657,-40.687,0.164551,1.58479,0.55709,-1.34132,-1.40345,0.745812,0.318581,-0.585039,41.5714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.705672,-0.942348,1.13062,-50.569,-9.882,-27.755,0.147949,1.59131,0.607641,-1.4648,-1.38658,0.765996,0.304721,-0.566034,54.6985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.736648,-0.969452,1.01785,-38.979,-48.251,-16.348,0.0805664,1.59805,0.582376,-1.45521,-1.24843,0.790473,0.291107,-0.538897,53.9902,-37.8508835,144.9884858,363.658,0.5125,0.214898,-0.273717,0,12,0,0.86,0
-0.784564,-0.872168,0.830544,-25.437,-77.836,-8.784,0.118164,1.60492,0.552948,-1.32644,-1.0289,0.812916,0.276096,-0.512776,54.6287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
-0.822316,-0.753104,0.62194,-1.525,-96.258,-6.893,0.180664,1.61189,0.492164,-1.16317,-0.812929,0.833896,0.260141,-0.48677,56.2159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
